ClusterID,Machine,ClusterStart,ClusterEnd,RunSec,CycleCount
848,41 DMU NLX2500,2026-01-05 10:34:45+00:00,2026-01-05 13:14:24+00:00,7348,11
406,22 DMU NLX 2500 old,2026-01-05 10:58:48+00:00,2026-01-05 14:21:38+00:00,9187,16
22,102 HAAS VF4,2026-01-05 11:00:02+00:00,2026-01-05 11:54:56+00:00,3294,1
728,24 DOOSAN PUMA 3100L,2026-01-05 11:00:55+00:00,2026-01-05 11:08:51+00:00,476,1
142,103 HAAS VF4,2026-01-05 11:15:28+00:00,2026-01-05 12:38:40+00:00,2205,87
729,24 DOOSAN PUMA 3100L,2026-01-05 11:19:11+00:00,2026-01-05 12:30:30+00:00,3786,3
1144,66 DMU NLX 2500,2026-01-05 11:36:59+00:00,2026-01-05 11:56:54+00:00,595,4
1004,65 DMU NLX 2500,2026-01-05 11:44:48+00:00,2026-01-05 13:38:16+00:00,3396,18
302,21 DOOSAN PUMA700,2026-01-05 12:05:25+00:00,2026-01-05 13:08:50+00:00,3324,7
23,102 HAAS VF4,2026-01-05 12:06:49+00:00,2026-01-05 14:04:04+00:00,6611,2
1145,66 DMU NLX 2500,2026-01-05 12:07:01+00:00,2026-01-05 13:20:27+00:00,1999,9
144,103 HAAS VF4,2026-01-05 13:05:07+00:00,2026-01-05 15:26:31+00:00,5078,89
730,24 DOOSAN PUMA 3100L,2026-01-05 13:14:33+00:00,2026-01-05 14:40:37+00:00,4264,4
528,23 DOOSAN PUMA 700,2026-01-05 13:16:08+00:00,2026-01-05 13:23:53+00:00,369,4
849,41 DMU NLX2500,2026-01-05 13:25:11+00:00,2026-01-05 13:55:38+00:00,1759,2
1146,66 DMU NLX 2500,2026-01-05 13:30:50+00:00,2026-01-05 13:42:01+00:00,502,2
529,23 DOOSAN PUMA 700,2026-01-05 13:37:51+00:00,2026-01-05 18:42:14+00:00,11112,65
1147,66 DMU NLX 2500,2026-01-05 13:55:26+00:00,2026-01-05 14:17:21+00:00,676,4
