Export Title: My Timeline
Export Date: 2026-01-15T08:58:43.126Z

Machine,Port ID,Start,End,State,Machine,Duration,Operator
102 HAAS VF4,1,1767676963,1767677618,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767677618,1767677619,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767677619,1767677678,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767677678,1767677870,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767677870,1767678032,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767678032,1767678212,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767678212,1767679680,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767679680,1767679856,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767679856,1767680558,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767680558,1767680740,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767680740,1767682071,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767682071,1767682255,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767682255,1767682680,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767682680,1767682863,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767682863,1767683155,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767683155,1767683334,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767683334,1767684522,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767684522,1767684702,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767684702,1767685036,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685036,1767685066,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685066,1767685087,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685087,1767685271,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685271,1767685759,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685759,1767685941,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767685941,1767686351,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686351,1767686382,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686382,1767686384,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686384,1767686408,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686408,1767686544,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686544,1767686729,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686729,1767686929,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767686929,1767687109,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767687109,1767687594,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767687594,1767687776,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767687776,1767688039,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767688039,1767688222,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767688222,1767688624,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767688624,1767688804,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767688804,1767689121,Stopped,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767689121,1767689306,Cycle,102 HAAS VF4,0,John Doe
102 HAAS VF4,1,1767689306,1767689871,Stopped,102 HAAS VF4,0,John Doe
